State,Region,Year,Carbon_Emissions_MtCO2,Energy_Use_TWh,RE_Generation_TWh,Non_RE_Energy_TWh,RE_Fraction,GDP_BillionINR,Urbanization_Percent,Estimated_CO2_from_NonRE,CO2_per_TWh,RE_vs_NonRE_Ratio,Energy_per_GDP,CO2_Category
Andhra Pradesh,SR,1980,55.71,29.78,5.8059899999999995,23.97401,0.19496272666218936,4740.15,31.68,23023.200763400004,1.8707186030893217,0.24216840785467866,0.006282501608598885,Low
Andhra Pradesh,SR,1981,26.02,16.61,5.8059899999999995,10.80401,0.3495478627332932,8350.93,31.4,10375.5229634,1.5665261890427453,0.5373423994980107,0.0019890000275418424,Low
Andhra Pradesh,SR,1982,210.22,125.44,5.8059899999999995,119.63401,0.046284996811224485,18886.97,30.79,114889.32516340002,1.675860969387755,0.048530860656926425,0.006641615886508,High
Andhra Pradesh,SR,1983,24.74,23.82,5.8059899999999995,18.01401,0.24374433249370275,29724.36,35.0,17299.574363400003,1.038623005877414,0.32228624907785225,0.0008013629225322261,Low
Andhra Pradesh,SR,1984,41.7,46.45,5.8059899999999995,40.64401,0.12499440258342302,30191.14,57.75,39032.068563400004,0.8977395048439182,0.14284631742002277,0.0015385308405048634,Low
Andhra Pradesh,SR,1985,61.79,72.27,5.8059899999999995,66.46401,0.08033748443337484,6481.37,30.02,63828.04736340001,0.8549882385498824,0.08735408299795636,0.01115042035865874,Low
Andhra Pradesh,SR,1986,34.7,18.92,5.8059899999999995,13.114010000000002,0.3068705073995771,19611.55,42.63,12593.908363400002,1.8340380549682875,0.44269809935333626,0.0009647376163536284,Low
Andhra Pradesh,SR,1987,88.31,70.87,5.8059899999999995,65.06401000000001,0.08192450966558486,14313.36,49.33,62483.57136340002,1.2460843798504304,0.08923367567299226,0.00495131820900194,Low
Andhra Pradesh,SR,1988,207.99,166.09,5.8059899999999995,160.28401,0.0349568908423144,8574.75,52.29,153927.1461634,1.25227286410982,0.036222913171980335,0.01936966092305898,High
Andhra Pradesh,SR,1989,243.59,275.52,5.8059899999999995,269.71401,0.02107284407665505,14546.91,32.15,259017.15236339998,0.8841100464576075,0.021526388168014828,0.018940104805762872,High
Andhra Pradesh,SR,1990,62.47,33.06,5.8059899999999995,27.25401,0.17561978221415606,6756.43,60.64,26173.115963400003,1.8895946763460374,0.2130246879381075,0.004893116631120281,Low
Andhra Pradesh,SR,1991,45.64,27.99,5.8059899999999995,22.18401,0.20743086816720258,28917.03,50.98,21304.192163400003,1.6305823508395856,0.2617077927844071,0.0009679417284555157,Low
Andhra Pradesh,SR,1992,190.03,130.39,5.8059899999999995,124.58400999999999,0.0445278779047473,15702.74,46.62,119643.0081634,1.45739703965028,0.04660263702671774,0.008303646369996573,Medium
Andhra Pradesh,SR,1993,251.54,266.55,5.8059899999999995,260.74401,0.021781992121553177,14540.44,46.21,250402.90256340004,0.943687863440255,0.022266926603887835,0.018331632330245852,High
Andhra Pradesh,SR,1994,109.0,59.26,5.8059899999999995,53.45401,0.09797485656429294,20255.78,38.87,51334.0239634,1.8393520080998988,0.10861451527181457,0.002925584697306152,Medium
Andhra Pradesh,SR,1995,193.49,149.14,5.8059899999999995,143.33400999999998,0.038929797505699346,24626.4,44.17,137649.3831634,1.2973715971570339,0.04050643314567739,0.0060561023941786045,Medium
Andhra Pradesh,SR,1996,248.84,238.46,5.8059899999999995,232.65401,0.02434785708294892,28686.37,21.1,223426.95196340003,1.0435293130923424,0.02495536201863867,0.008312658590124858,High
Andhra Pradesh,SR,1997,42.78,23.42,5.8059899999999995,17.61401,0.24790734415029886,20657.16,18.57,16915.438363400004,1.8266438941076002,0.329604695086747,0.001133747330223516,Low
Andhra Pradesh,SR,1998,176.56,146.75,5.8059899999999995,140.94401,0.039563816013628614,30206.93,52.2,135354.1705634,1.2031345826235094,0.04119329942933063,0.004858156720990846,Medium
Andhra Pradesh,SR,1999,165.64,116.39,5.8059899999999995,110.58401,0.04988392473580204,27415.73,36.36,106198.24816340001,1.4231463184122346,0.052502504634217594,0.004245373003016881,Medium
Andhra Pradesh,SR,2000,239.22,255.24,5.8059899999999995,249.43401,0.022747179125528913,31515.67,53.59,239541.45716340002,0.9372355430183357,0.02327656410381205,0.008098828297161381,High
Andhra Pradesh,SR,2001,93.15,105.27,5.8059899999999995,99.46401,0.055153320034197775,15787.04,34.7,95519.26736340001,0.8848674836135652,0.05837218535442765,0.006668127780761941,Low
Andhra Pradesh,SR,2002,96.32,79.3,5.8059899999999995,73.49401,0.0732155107187894,13833.7,58.59,70579.23756340002,1.2146279949558638,0.0789984245188891,0.005732378177927814,Low
Andhra Pradesh,SR,2003,284.99,332.66,5.8059899999999995,326.85401,0.01745322551554139,24514.43,26.89,313890.97996340005,0.8567005350808633,0.017763197204778963,0.013569966750195702,High
Andhra Pradesh,SR,2004,194.75,108.49,5.8059899999999995,102.68401,0.05351636095492672,26244.42,25.31,98611.56216340001,1.7950963222416814,0.05654174840125155,0.004133831115338041,Medium
Andhra Pradesh,SR,2005,151.08,113.11,5.8059899999999995,107.30401,0.051330474759084074,10331.57,57.87,103048.33296340001,1.335690920343029,0.05410735248987907,0.010947997255015452,Medium
Andhra Pradesh,SR,2006,225.72,138.43,5.8059899999999995,132.62401,0.041941703387993926,37211.99,51.2,127364.14176340001,1.6305714079318065,0.043777489630349505,0.003720037547037931,High
Andhra Pradesh,SR,2007,240.27,223.19,5.8059899999999995,217.38401,0.026013665486804963,19533.59,58.6,208762.5601634,1.0765267261078006,0.026708327312909015,0.0114259590786947,High
Andhra Pradesh,SR,2008,86.66,87.02,5.8059899999999995,81.21401,0.06672017926913353,22728.27,58.89,77993.06236340001,0.9958630199954034,0.07148912497825216,0.00382871199611761,Low
